team_slug,conference
ucirvineanteaters,nan
ucla,nan
ucsandiegotritons,nan
ucsantabarbaragauchos,nan
ucsantacruzbananaslugs,Unknown
uicflames,nan
ulmonroewarhawks,nan
umasslowellriver,nan
umbcretrievers,nan
umkckangaroos,Unknown
uncasheville,nan
uncgreensboro,nan
uncwilmingtonseahawks,nan
unionky,Unknown
untdallastrailblazers,Unknown
urbanablue,Unknown
usctrojans,nan
uscupstate,nan
utahstate,nan
utahtechtrailblazers,nan
utahutes,nan
utahvalleywolverines,nan
utarlington,nan
utdallascomets,Unknown
utepminers,nan
utmartinskyhawks,nan
utpermianbasin,Unknown
utriograndevalley,nan
uttylerpatriots,Unknown
uvawisecavaliers,Unknown
valleycity,Unknown
valleyforgepatriots,Unknown
valparaisobeacons,nan
vanderbilt,nan
vanguard,Unknown
vassarbrewers,Unknown
vcu,nan
vermontcatamounts,nan
vermontstatejohnsonbadgers,Unknown
vermontstatelyndon,Unknown
vermontstaterandolph,Unknown
villanova,nan
virginiacavaliers,nan
virginialynchburg,Unknown
virginiastatetrojans,Unknown
virginiatech,nan
virginiawesleyanbluemarlins,Unknown
vmikeydets,nan
voorhees,Unknown
wagnerseahawks,nan
wakeforestdemon,nan
waldorfcollege,Unknown
wallawallawolves,Unknown
warnerpacific,Unknown
warnerroyals,Unknown
warrenwilson,Unknown
washburnichabods,Unknown
washington,nan
washingtonadventistshock,Unknown
washingtonandleegenerals,Unknown
washingtoncollegemdshoremen,Unknown
washingtonstate,nan
waylandbaptist,Unknown
waynesburgyellowjackets,Unknown
webberinternational,Unknown
weberstate,nan
webstergorloks,Unknown
wellscollegeexpress,Unknown
westalabama,Unknown
westcliff,Unknown
westcoastbaptist,Unknown
westerncarolinacatamounts,nan
westerncolorado,Unknown
westernillinoisleathernecks,nan
westernkentuckyhilltoppers,nan
westernmichigan,nan
westernnewenglandgolden,Unknown
westernnewmexico,Unknown
westernoregonwolves,Unknown
westfieldstate,Unknown
westgeorgiawolves,nan
westminstermobluejays,Unknown
westminsterpa,Unknown
westminsterut,Unknown
westmont,Unknown
westvirginia,nan
westvirginiawesleyan,Unknown
wheelockcollegewheelock,Unknown
whitmanmissionaries,Unknown
whittierpoets,Unknown
wichitastateshockers,nan
widenerpride,Unknown
wilberforce,Unknown
wiley,Unknown
wilkescolonels,Unknown
willamette,Unknown
williamandmarytribe,nan
williamcareycrusaders,Unknown
williampeacepacers,Unknown
williamsbaptist,Unknown
williamwoods,Unknown
wilmingtonde,Unknown
wilsoncollegewilson,Unknown
winthrop,nan
wisconsin,Unknown
wisconsinbadgers,nan
wisconsinstoutbluedevils,Unknown
