game_id,home_team,away_team,period,market,book,pick,edge,line_value,predicted_value,fair_price,actual_total,actual_total_1h,actual_total_2h,actual_margin,actual_margin_1h,home_score,away_score,result,pnl_units
401830220,Indiana St Sycamores,Bradley Braves,2h,moneyline,BetOnline.ag,Indiana St Sycamores ML,45.98637286148816,180.0,4.680799881480369,-195.16705484823785,0,,,0,,0,0,push,0.0
401830220,Indiana St Sycamores,Bradley Braves,2h,moneyline,BetUS,Indiana St Sycamores ML,45.98637286148816,180.0,4.680799881480369,-195.16705484823785,0,,,0,,0,0,push,0.0
401830220,Indiana St Sycamores,Bradley Braves,2h,moneyline,DraftKings,Indiana St Sycamores ML,45.98637286148816,180.0,4.680799881480369,-195.16705484823785,0,,,0,,0,0,push,0.0
401830220,Indiana St Sycamores,Bradley Braves,2h,moneyline,LowVig.ag,Indiana St Sycamores ML,45.98637286148816,180.0,4.680799881480369,-195.16705484823785,0,,,0,,0,0,push,0.0
401830220,Indiana St Sycamores,Bradley Braves,2h,moneyline,Bovada,Indiana St Sycamores ML,45.004306913515215,175.0,4.680799881480369,-195.16705484823785,0,,,0,,0,0,push,0.0
401830220,Indiana St Sycamores,Bradley Braves,2h,moneyline,Fanatics,Indiana St Sycamores ML,45.004306913515215,175.0,4.680799881480369,-195.16705484823785,0,,,0,,0,0,push,0.0
401830220,Indiana St Sycamores,Bradley Braves,2h,moneyline,BetRivers,Indiana St Sycamores ML,43.98586815265439,170.0,4.680799881480369,-195.16705484823785,0,,,0,,0,0,push,0.0
401820804,Charlotte 49ers,Lafayette Leopards,2h,moneyline,BetRivers,Lafayette Leopards ML,43.237104836877336,420.0,-4.680799881480369,195.16705484823785,0,,,0,,0,0,push,0.0
401806348,Tennessee Tech Golden Eagles,SE Missouri St Redhawks,2h,moneyline,Bovada,Tennessee Tech Golden Eagles ML,34.24428000528994,130.0,4.680799881480369,-195.16705484823785,0,,,0,,0,0,push,0.0
401806348,Tennessee Tech Golden Eagles,SE Missouri St Redhawks,2h,moneyline,DraftKings,Tennessee Tech Golden Eagles ML,32.482966076860194,124.0,4.680799881480369,-195.16705484823785,0,,,0,,0,0,push,0.0
