date,game_id,home_team,away_team,start_time_local,start_time_iso,start_tz_abbr,start_min,end_min,half,mu_home_score_end,mu_away_score_end,mu_total_score_end,mu_margin_score_end,q10_home_score_end,q50_home_score_end,q90_home_score_end,q10_away_score_end,q50_away_score_end,q90_away_score_end,q10_total_score_end,q50_total_score_end,q90_total_score_end,q10_margin_score_end,q50_margin_score_end,q90_margin_score_end
2026-01-23,401808634,App State Mountaineers,UL Monroe Warhawks,2026-01-23 12:00,2026-01-23T17:00:00Z,CST,5,10,1,20.085,20.026,34.58321609756319,0.059,13.0,20.0,28.0,13.0,20.0,28.0,32.68617934414088,34.56426451088063,36.613084692778536,-9.0,0.0,9.0
2026-01-23,401808634,App State Mountaineers,UL Monroe Warhawks,2026-01-23 12:00,2026-01-23T17:00:00Z,CST,10,15,1,29.902,29.793,53.04367377084928,0.109,21.0,30.0,40.0,20.0,29.0,40.0,50.16033878158475,52.907306447437314,56.04669806555453,-11.0,0.0,11.0
2026-01-23,401808634,App State Mountaineers,UL Monroe Warhawks,2026-01-23 12:00,2026-01-23T17:00:00Z,CST,15,20,1,38.12875,37.95675,71.5961568643475,0.172,27.0,38.0,49.0,27.0,38.0,49.0,68.5382222389941,71.41261822644306,74.62517844770954,-12.0,0.0,13.0
2026-01-23,401808634,App State Mountaineers,UL Monroe Warhawks,2026-01-23 12:00,2026-01-23T17:00:00Z,CST,20,25,2,48.402,48.1795,90.35009357481482,0.2225,37.0,48.0,61.0,37.0,48.0,60.0,87.1575056277112,90.2501829168356,93.6864910158627,-14.0,0.0,15.0
2026-01-23,401808634,App State Mountaineers,UL Monroe Warhawks,2026-01-23 12:00,2026-01-23T17:00:00Z,CST,25,30,2,58.38275,58.0715,108.92155574195658,0.31125,46.0,58.0,71.0,46.0,58.0,71.0,105.3523117452781,108.84228961948855,112.50676638740956,-15.0,0.0,16.0
2026-01-23,401808634,App State Mountaineers,UL Monroe Warhawks,2026-01-23 12:00,2026-01-23T17:00:00Z,CST,30,35,2,68.30725,67.96075,126.51301053154886,0.3465,55.0,68.0,82.0,55.0,68.0,82.0,122.14895253412108,126.45801864028918,131.1774719946638,-16.0,0.0,17.0
2026-01-23,401808634,App State Mountaineers,UL Monroe Warhawks,2026-01-23 12:00,2026-01-23T17:00:00Z,CST,35,40,2,76.9915,76.5005,147.30749350076314,0.491,63.0,77.0,91.0,63.0,76.0,91.0,144.82052975478945,147.3662771217828,149.91202448877613,-17.0,0.0,19.0
2026-01-23,401809338,East Tennessee State Buccaneers,The Citadel Bulldogs,2026-01-23 19:00,2026-01-24T00:00:00Z,CST,0,5,1,9.71425,9.61925,16.869387938441864,0.095,5.0,9.0,15.0,5.0,9.0,15.0,16.05017272341176,16.832133111386224,17.725802126214184,-6.0,0.0,7.0
2026-01-23,401809338,East Tennessee State Buccaneers,The Citadel Bulldogs,2026-01-23 19:00,2026-01-24T00:00:00Z,CST,5,10,1,18.971,18.954,34.20998935442745,0.017,12.0,19.0,26.0,12.0,19.0,27.0,32.17397429866641,34.05205946540615,36.27161466246222,-9.0,0.0,9.0
2026-01-23,401809338,East Tennessee State Buccaneers,The Citadel Bulldogs,2026-01-23 19:00,2026-01-24T00:00:00Z,CST,10,15,1,28.3175,28.24825,52.4296774445372,0.06925,19.0,28.0,38.0,19.0,28.0,38.0,49.57170285318777,52.31867051904034,55.26185016102522,-11.0,0.0,11.0
2026-01-23,401809338,East Tennessee State Buccaneers,The Citadel Bulldogs,2026-01-23 19:00,2026-01-24T00:00:00Z,CST,15,20,1,35.8295,35.78275,70.83981028488539,0.04675,25.0,36.0,47.0,25.0,36.0,47.0,67.86189377135904,70.736289758808,73.77976786316573,-12.0,0.0,13.0
2026-01-23,401809338,East Tennessee State Buccaneers,The Citadel Bulldogs,2026-01-23 19:00,2026-01-24T00:00:00Z,CST,20,25,2,45.481,45.48575,89.38539302986419,-0.00475,34.0,45.0,57.0,34.0,45.0,57.0,86.29842860295443,89.39110589207883,92.48378318120322,-14.0,0.0,14.0
2026-01-23,401809338,East Tennessee State Buccaneers,The Citadel Bulldogs,2026-01-23 19:00,2026-01-24T00:00:00Z,CST,25,30,2,54.84,54.80975,107.73417801970332,0.03025,43.0,55.0,67.0,43.0,55.0,67.0,104.30531838301496,107.6207973635149,111.11077523772538,-15.0,0.0,16.0
2026-01-23,401809338,East Tennessee State Buccaneers,The Citadel Bulldogs,2026-01-23 19:00,2026-01-24T00:00:00Z,CST,30,35,2,64.124,64.183,124.87946409006294,-0.059,51.0,64.0,78.0,51.0,64.0,78.0,120.50740354129512,124.81646964746324,129.3307293777346,-17.0,0.0,17.0
2026-01-23,401809338,East Tennessee State Buccaneers,The Citadel Bulldogs,2026-01-23 19:00,2026-01-24T00:00:00Z,CST,35,40,2,71.96525,72.04975,146.21085496453605,-0.0845,58.0,72.0,86.0,58.0,72.0,86.0,143.66337186070157,146.2091192276949,148.75486659468825,-18.0,0.0,17.0
2026-01-23,401809340,UNC Greensboro Spartans,Furman Paladins,2026-01-23 15:00,2026-01-23T20:00:00Z,CST,0,5,1,9.80475,9.56425,16.873353594695164,0.2405,5.0,10.0,15.0,5.0,9.0,15.0,16.05017272341176,16.832133111386224,17.725802126214184,-6.0,0.0,7.0
2026-01-23,401809340,UNC Greensboro Spartans,Furman Paladins,2026-01-23 15:00,2026-01-23T20:00:00Z,CST,5,10,1,19.20425,18.73425,34.21229427713209,0.47,12.0,19.0,27.0,12.0,18.5,26.0,32.344709313824566,34.22279448056432,36.27161466246222,-8.0,1.0,9.0
2026-01-23,401809340,UNC Greensboro Spartans,Furman Paladins,2026-01-23 15:00,2026-01-23T20:00:00Z,CST,10,15,1,28.65975,27.92575,52.433552631065815,0.734,19.900000000000038,28.0,38.0,19.0,28.0,37.0,49.57170285318777,52.31867051904034,55.45806213715756,-10.0,1.0,12.0
2026-01-23,401809340,UNC Greensboro Spartans,Furman Paladins,2026-01-23 15:00,2026-01-23T20:00:00Z,CST,15,20,1,36.26425,35.21075,70.81660376433966,1.0535,26.0,36.0,47.0,25.0,35.0,46.0,67.86189377135904,70.736289758808,73.94884998007448,-11.0,1.0,14.0
2026-01-23,401809340,UNC Greensboro Spartans,Furman Paladins,2026-01-23 15:00,2026-01-23T20:00:00Z,CST,20,25,2,45.95325,44.72875,89.33646859330429,1.2245,35.0,46.0,57.0,34.0,45.0,56.0,86.29842860295443,89.21929048712747,92.48378318120322,-12.0,1.0,15.0
2026-01-23,401809340,UNC Greensboro Spartans,Furman Paladins,2026-01-23 15:00,2026-01-23T20:00:00Z,CST,25,30,2,55.398,53.9225,107.67672425894912,1.4755,43.0,55.0,68.0,42.0,54.0,66.0,104.30531838301496,107.6207973635149,111.11077523772538,-14.0,1.0,16.09999999999991
2026-01-23,401809340,UNC Greensboro Spartans,Furman Paladins,2026-01-23 15:00,2026-01-23T20:00:00Z,CST,30,35,2,64.81275,63.1245,124.80359374755076,1.68825,52.0,65.0,78.0,51.0,63.0,76.0,120.71259716539836,124.81646964746324,129.12553575363134,-14.0,2.0,18.0
2026-01-23,401809340,UNC Greensboro Spartans,Furman Paladins,2026-01-23 15:00,2026-01-23T20:00:00Z,CST,35,40,2,72.615,70.6975,146.12956462247638,1.9175,59.0,72.0,86.0,57.0,70.0,85.0,143.66337186070157,146.09340343828612,148.63915080527946,-15.0,2.0,19.0
2026-01-23,401812321,Central Connecticut Blue Devils,Fairleigh Dickinson Knights,,2026-01-24T00:00:00Z,CST,0,5,1,9.99525,9.5185,16.88952341843221,0.47675,5.0,10.0,15.0,5.0,9.0,15.0,16.05017272341176,16.832133111386224,17.83751075306768,-6.0,0.0,7.0
2026-01-23,401812321,Central Connecticut Blue Devils,Fairleigh Dickinson Knights,,2026-01-24T00:00:00Z,CST,5,10,1,19.55325,18.89475,34.29928376735517,0.6585,12.0,19.0,27.0,12.0,19.0,26.0,32.344709313824566,34.22279448056432,36.44234967762038,-8.0,1.0,9.0
2026-01-23,401812321,Central Connecticut Blue Devils,Fairleigh Dickinson Knights,,2026-01-24T00:00:00Z,CST,10,15,1,29.0895,28.1715,52.5660938209432,0.918,20.0,29.0,39.0,19.0,28.0,38.0,49.57170285318777,52.51488249517266,55.65427411328987,-10.0,1.0,12.0
2026-01-23,401812321,Central Connecticut Blue Devils,Fairleigh Dickinson Knights,,2026-01-24T00:00:00Z,CST,15,20,1,36.703,35.5205,70.94316172884588,1.1825,26.0,36.0,48.0,25.0,35.0,47.0,67.86189377135904,70.90537187571677,74.11793209698325,-11.0,1.0,14.0
2026-01-23,401812321,Central Connecticut Blue Devils,Fairleigh Dickinson Knights,,2026-01-24T00:00:00Z,CST,20,25,2,46.5915,45.0665,89.50416042853682,1.525,35.0,46.0,59.0,34.0,45.0,57.0,86.29842860295443,89.39110589207883,92.82741399110591,-12.0,2.0,16.0
2026-01-23,401812321,Central Connecticut Blue Devils,Fairleigh Dickinson Knights,,2026-01-24T00:00:00Z,CST,25,30,2,56.22875,54.28875,107.88559943472065,1.94,44.0,56.0,69.0,42.0,54.0,67.0,104.47981727672548,107.79529625722544,111.45977302514642,-13.0,2.0,17.0
2026-01-23,401812321,Central Connecticut Blue Devils,Fairleigh Dickinson Knights,,2026-01-24T00:00:00Z,CST,30,35,2,65.765,63.528,125.08178500342872,2.237,52.0,65.0,80.0,50.0,63.0,77.0,120.50740354129512,125.02166327156648,129.7411166259411,-15.0,2.0,19.0
2026-01-23,401812321,Central Connecticut Blue Devils,Fairleigh Dickinson Knights,,2026-01-24T00:00:00Z,CST,35,40,2,73.7485,71.204,146.3193385171068,2.5445,59.0,74.0,89.0,57.0,71.0,86.0,143.66337186070157,146.3248350171037,149.2177297523234,-15.0,3.0,20.0
2026-01-23,401812340,Le Moyne Dolphins,Wagner Seahawks,2026-01-23 19:00,2026-01-24T00:00:00Z,CST,0,5,1,9.6965,9.54125,16.858691837420643,0.15525,5.0,9.0,15.0,5.0,9.0,14.0,16.05017272341176,16.832133111386224,17.725802126214184,-6.0,0.0,6.0
