date,game_id,event_id,book,market,period,selection,line,price,edge,kelly,fractional,stake,ev
2025-11-15,401822730,a6ce280125f6ca8215cea725adf5c488,BetMGM,spreads,full_game,home,6.5,-110.0,14.587203,1.0,0.5,0.4881652540116196,
2025-11-15,401822730,a6ce280125f6ca8215cea725adf5c488,BetOnline.ag,spreads,full_game,home,6.0,-107.0,14.087203,1.0,0.5,0.4881652540116196,
2025-11-15,401822730,a6ce280125f6ca8215cea725adf5c488,BetRivers,spreads,full_game,home,6.5,-109.0,14.587203,1.0,0.5,0.4881652540116196,
2025-11-15,401822730,a6ce280125f6ca8215cea725adf5c488,BetUS,spreads,full_game,home,6.5,-110.0,14.587203,1.0,0.5,0.4881652540116196,
2025-11-15,401822730,a6ce280125f6ca8215cea725adf5c488,Bovada,spreads,full_game,home,6.5,-110.0,14.587203,1.0,0.5,0.4881652540116196,
2025-11-15,401822730,a6ce280125f6ca8215cea725adf5c488,Caesars,spreads,full_game,home,7.0,-110.0,15.087203,1.0,0.5,0.4881652540116196,
2025-11-15,401822730,a6ce280125f6ca8215cea725adf5c488,DraftKings,spreads,full_game,home,6.5,-115.0,14.587203,1.0,0.5,0.4881652540116196,
2025-11-15,401822730,a6ce280125f6ca8215cea725adf5c488,FanDuel,spreads,full_game,home,6.5,-108.0,14.587203,1.0,0.5,0.4881652540116196,
2025-11-15,401822730,a6ce280125f6ca8215cea725adf5c488,Fanatics,spreads,full_game,home,6.5,-110.0,14.587203,1.0,0.5,0.4881652540116196,
2025-11-15,401822730,a6ce280125f6ca8215cea725adf5c488,LowVig.ag,spreads,full_game,home,6.0,-103.0,14.087203,1.0,0.5,0.4881652540116196,
2025-11-15,401823215,0d045fe6975fc350bc5c98544c5c2d5b,BetMGM,spreads,full_game,home,2.5,-110.0,4.6899054,0.9379810799999999,0.5,0.4881652540116196,
2025-11-15,401823215,0d045fe6975fc350bc5c98544c5c2d5b,BetOnline.ag,spreads,full_game,home,2.0,-105.0,4.1899054,1.0,0.5,0.4881652540116196,
2025-11-15,401823215,0d045fe6975fc350bc5c98544c5c2d5b,BetRivers,spreads,full_game,home,2.5,-114.0,4.6899054,0.9379810799999999,0.5,0.4881652540116196,
2025-11-15,401823215,0d045fe6975fc350bc5c98544c5c2d5b,Bovada,spreads,full_game,home,2.5,-110.0,4.6899054,0.9379810799999999,0.5,0.4881652540116196,
2025-11-15,401823215,0d045fe6975fc350bc5c98544c5c2d5b,Caesars,spreads,full_game,home,2.5,-110.0,4.6899054,0.9379810799999999,0.5,0.4881652540116196,
2025-11-15,401823215,0d045fe6975fc350bc5c98544c5c2d5b,DraftKings,spreads,full_game,home,2.5,-110.0,4.6899054,0.9379810799999999,0.5,0.4881652540116196,
2025-11-15,401823215,0d045fe6975fc350bc5c98544c5c2d5b,FanDuel,spreads,full_game,home,2.5,-108.0,4.6899054,0.9379810799999999,0.5,0.4881652540116196,
2025-11-15,401823215,0d045fe6975fc350bc5c98544c5c2d5b,Fanatics,spreads,full_game,home,2.5,-110.0,4.6899054,0.9379810799999999,0.5,0.4881652540116196,
2025-11-15,401823215,0d045fe6975fc350bc5c98544c5c2d5b,LowVig.ag,spreads,full_game,home,2.0,-101.0,4.1899054,1.0,0.5,0.4881652540116196,
2025-11-15,401823227,006d559ede2bc2f2dd30485d37698aa0,BetMGM,spreads,full_game,home,1.5,-110.0,3.633577,1.0,0.5,0.4881652540116196,
2025-11-15,401823227,006d559ede2bc2f2dd30485d37698aa0,BetOnline.ag,spreads,full_game,home,1.5,-111.0,3.633577,1.0,0.5,0.4881652540116196,
2025-11-15,401823227,006d559ede2bc2f2dd30485d37698aa0,BetRivers,spreads,full_game,home,1.5,-109.0,3.633577,1.0,0.5,0.4881652540116196,
2025-11-15,401823227,006d559ede2bc2f2dd30485d37698aa0,Bovada,spreads,full_game,home,1.5,-105.0,3.633577,1.0,0.5,0.4881652540116196,
2025-11-15,401823227,006d559ede2bc2f2dd30485d37698aa0,Caesars,spreads,full_game,home,1.5,-110.0,3.633577,1.0,0.5,0.4881652540116196,
2025-11-15,401823227,006d559ede2bc2f2dd30485d37698aa0,DraftKings,spreads,full_game,home,1.5,-108.0,3.633577,1.0,0.5,0.4881652540116196,
2025-11-15,401823227,006d559ede2bc2f2dd30485d37698aa0,FanDuel,spreads,full_game,home,1.5,-106.0,3.633577,1.0,0.5,0.4881652540116196,
2025-11-15,401823227,006d559ede2bc2f2dd30485d37698aa0,Fanatics,spreads,full_game,home,1.0,-110.0,3.133577,1.0,0.5,0.4881652540116196,
2025-11-15,401823227,006d559ede2bc2f2dd30485d37698aa0,LowVig.ag,spreads,full_game,home,1.5,-107.0,3.633577,1.0,0.5,0.4881652540116196,
2025-11-15,401823342,843d3c7d7bd15b6effcebc27ffde4ef0,BetMGM,spreads,full_game,home,1.5,-120.0,7.6051416,1.0,0.5,0.4881652540116196,
2025-11-15,401823342,843d3c7d7bd15b6effcebc27ffde4ef0,BetOnline.ag,spreads,full_game,home,1.0,-110.0,7.1051416,1.0,0.5,0.4881652540116196,
2025-11-15,401823342,843d3c7d7bd15b6effcebc27ffde4ef0,BetRivers,spreads,full_game,home,1.0,-120.0,7.1051416,1.0,0.5,0.4881652540116196,
2025-11-15,401823342,843d3c7d7bd15b6effcebc27ffde4ef0,Bovada,spreads,full_game,home,1.0,-105.0,7.1051416,1.0,0.5,0.4881652540116196,
2025-11-15,401823342,843d3c7d7bd15b6effcebc27ffde4ef0,Caesars,spreads,full_game,home,1.0,-110.0,7.1051416,1.0,0.5,0.4881652540116196,
2025-11-15,401823342,843d3c7d7bd15b6effcebc27ffde4ef0,DraftKings,spreads,full_game,home,1.5,-118.0,7.6051416,1.0,0.5,0.4881652540116196,
2025-11-15,401823342,843d3c7d7bd15b6effcebc27ffde4ef0,FanDuel,spreads,full_game,home,1.5,-118.0,7.6051416,1.0,0.5,0.4881652540116196,
2025-11-15,401823342,843d3c7d7bd15b6effcebc27ffde4ef0,Fanatics,spreads,full_game,home,1.0,-110.0,7.1051416,1.0,0.5,0.4881652540116196,
2025-11-15,401823342,843d3c7d7bd15b6effcebc27ffde4ef0,LowVig.ag,spreads,full_game,home,1.0,-106.0,7.1051416,1.0,0.5,0.4881652540116196,
2025-11-15,401823418,eca5ffef726db1d3ecdae6455c710226,BetMGM,spreads,full_game,home,-4.5,-115.0,9.434371,1.0,0.5,0.4881652540116196,
2025-11-15,401823418,eca5ffef726db1d3ecdae6455c710226,BetOnline.ag,spreads,full_game,home,-5.0,-105.0,8.934371,0.8934371000000001,0.5,0.4881652540116196,
2025-11-15,401823418,eca5ffef726db1d3ecdae6455c710226,BetRivers,spreads,full_game,home,-4.5,-115.0,9.434371,1.0,0.5,0.4881652540116196,
2025-11-15,401823418,eca5ffef726db1d3ecdae6455c710226,BetUS,spreads,full_game,home,-5.0,-110.0,8.934371,0.8934371000000001,0.5,0.4881652540116196,
2025-11-15,401823418,eca5ffef726db1d3ecdae6455c710226,Bovada,spreads,full_game,home,-5.0,-110.0,8.934371,0.8934371000000001,0.5,0.4881652540116196,
2025-11-15,401823418,eca5ffef726db1d3ecdae6455c710226,Caesars,spreads,full_game,home,-5.0,-110.0,8.934371,0.8934371000000001,0.5,0.4881652540116196,
2025-11-15,401823418,eca5ffef726db1d3ecdae6455c710226,DraftKings,spreads,full_game,home,-4.5,-112.0,9.434371,1.0,0.5,0.4881652540116196,
