date,game_id,end_min,actual_total,pred_mu,pred_q10,pred_q50,pred_q90,err_q50,abs_err_q50,pinball_q10,pinball_q50,pinball_q90,is_ot_game,is_ot_endpoint,ot_periods
2026-02-04,401822931,25,84.0,100.46584717626078,81.72934717626076,99.72934717626076,120.72934717626076,15.72934717626076,15.72934717626076,0.227065282373924,7.86467358813038,3.672934717626075,1,0,2
2026-02-04,401822931,30,106.0,116.93544393169807,97.25269393169808,116.25269393169808,138.25269393169808,10.252693931698076,10.252693931698076,0.8747306068301924,5.126346965849038,3.225269393169807,1,0,2
2026-02-04,401822931,35,127.0,134.2834886197541,112.55398861975412,133.55398861975408,156.55398861975408,6.55398861975408,6.55398861975408,1.4446011380245878,3.27699430987704,2.9553988619754072,1,0,2
2026-02-04,401822931,40,146.0,150.70275,127.0,150.0,174.0,4.0,4.0,1.9,2.0,2.7999999999999994,1,0,2
2026-02-04,401822931,45,164.0,,,,,,,,,,1,1,2
2026-02-04,401822931,50,184.0,,,,,,,,,,1,1,2
2026-02-04,401823048,5,18.0,19.720183489585644,12.965933489585645,19.965933489585645,25.965933489585645,1.9659334895856448,1.9659334895856448,0.5034066510414356,0.9829667447928224,0.7965933489585643,0,0,0
2026-02-04,401823048,10,25.0,39.63471919969196,29.02221919969196,39.02221919969196,50.02221919969196,14.02221919969196,14.02221919969196,3.6199972797227646,7.01110959984598,2.5022219199691955,0,0,0
2026-02-04,401823048,15,43.0,59.79783186232508,46.39933186232508,59.39933186232508,73.39933186232508,16.399331862325077,16.399331862325077,3.0593986760925698,8.199665931162539,3.039933186232508,0,0,0
2026-02-04,401823048,20,54.0,74.59114904975182,57.38864904975182,74.38864904975182,92.38864904975182,20.38864904975182,20.38864904975182,3.0497841447766376,10.19432452487591,3.838864904975181,0,0,0
2026-02-04,401823048,25,68.0,95.64034717626076,78.72934717626076,95.72934717626076,112.72934717626076,27.72934717626076,27.72934717626076,9.656412458634684,13.86467358813038,4.4729347176260745,0,0,0
2026-02-04,401823048,30,81.0,110.75744393169808,92.25269393169808,110.25269393169808,128.25269393169808,29.25269393169808,29.25269393169808,10.127424538528269,14.626346965849038,4.725269393169807,0,0,0
2026-02-04,401823048,35,98.0,126.66698861975412,107.55398861975412,126.55398861975412,145.55398861975408,28.55398861975412,28.55398861975412,8.59858975777871,14.27699430987706,4.755398861975407,0,0,0
2026-02-04,401823048,40,117.0,141.90875,121.0,142.0,163.0,25.0,25.0,3.6,12.5,4.599999999999999,0,0,0
2026-02-04,401823934,5,19.0,21.026933489585645,14.965933489585645,20.965933489585645,27.965933489585645,1.9659334895856448,1.9659334895856448,0.4034066510414356,0.9829667447928224,0.8965933489585642,0,0,0
2026-02-04,401823934,10,36.0,42.20946919969196,32.02221919969196,42.02221919969196,53.02221919969196,6.0222191996919605,6.0222191996919605,0.3977780800308039,3.0111095998459803,1.7022219199691957,0,0,0
2026-02-04,401823934,15,54.0,63.61758186232508,49.39933186232508,63.39933186232508,78.39933186232508,9.399331862325075,9.399331862325075,0.4600668137674923,4.699665931162539,2.439933186232508,0,0,0
2026-02-04,401823934,20,72.0,79.65414904975182,61.38864904975182,79.38864904975182,98.38864904975182,7.38864904975182,7.38864904975182,1.0611350950248182,3.69432452487591,2.6388649049751813,0,0,0
2026-02-04,401823934,25,97.0,102.15309717626076,83.72934717626076,101.72934717626076,120.72934717626076,4.72934717626076,4.72934717626076,1.3270652823739242,2.36467358813038,2.3729347176260758,0,0,0
2026-02-04,401823934,30,107.0,118.76694393169808,100.25269393169808,118.25269393169808,138.25269393169808,11.252693931698076,11.252693931698076,0.6747306068301925,5.626346965849038,3.125269393169807,0,0,0
2026-02-04,401823934,35,122.0,136.26048861975408,115.55398861975412,135.55398861975408,157.55398861975408,13.55398861975408,13.55398861975408,0.6446011380245878,6.77699430987704,3.5553988619754078,0,0,0
